라아,69,165
자다,82,170
자마,80,187
사나,48,187
아라,78,157
사마,94,163
바자,81,141
차하,68,160
카아,79,142
가아,46,177
타사,44,179
하자,59,162
나차,40,186
자카,79,151
마가,67,194
차하,82,193
가나,97,157
나다,44,199
나자,72,187
차파,42,156
가다,68,156
가하,43,146
다가,76,146
파타,43,189
사마,65,172
카가,42,162
사다,99,161
나마,87,197
하라,98,154
자하,97,196
라파,58,181
라나,78,144
나다,64,141
바카,56,145
마타,40,168
나나,40,164
라가,92,146
하하,80,151
차마,50,198
마하,75,156
하자,49,198
사차,79,163
다차,73,186
나파,44,146
마라,72,157
아바,66,153
나바,41,154
카다,49,169
가나,60,199
라사,72,183
라하,42,193
아차,83,157
하타,75,150
타카,86,173
카사,88,196
차타,84,169
파라,52,140
아카,90,153
아가,94,181
가카,97,194
파마,90,160
자자,69,176
카마,45,153
바가,75,169
다나,44,144
라하,99,172
마자,76,168
라하,57,153
가라,80,179
나바,90,147
바마,78,187
바자,65,180
나카,54,170
아나,79,191
자사,51,154
차마,44,178
라사,89,140
차아,58,189
가마,69,171
하타,61,156
차하,99,158
바나,56,172
다바,67,157
나사,82,198
하다,51,176
다나,59,179
다바,99,175
카타,83,141
가바,83,174
파하,47,193
라타,41,170
타마,91,167
아아,44,162
사사,79,159
라라,96,178
바다,63,197
라자,50,147
타나,68,178
바가,53,164
파자,61,141
가나,78,172
차하,44,196
나마,50,149
카아,44,169
하파,45,174
바사,58,167
아파,47,157
나나,88,170
라가,89,141
다파,92,189
타카,49,180
파카,48,143
바가,92,183
파라,87,157
타하,54,140
가아,99,185
가나,56,198
타마,95,177
바사,70,155
자마,41,142
카카,83,189
사마,79,148
자자,51,170
자하,58,195
바가,58,169
마카,42,177
바가,96,167
파아,68,147
마라,78,182
마나,70,167
사타,60,157
아사,71,144
라아,69,187
사타,66,156
아라,73,198
마마,50,162
파카,73,197
파아,65,194
마파,88,178
아사,43,199
파사,61,199
하카,67,153
자마,86,193
아타,47,170
차카,68,181
나라,50,155
마자,65,196
파카,61,174
파타,72,159
라타,42,196
자차,98,165
자다,61,149
가아,51,164
파바,74,165
가나,97,197
나가,75,197
카마,84,153
라가,64,157
바타,65,184
라사,85,151
파가,91,149
마다,54,153
다카,43,152
가라,60,145
아가,57,181
다자,68,143
하하,70,153
카나,56,143
파하,46,173
차타,96,173
타나,75,193
나아,56,145
다카,50,160
다차,72,149
다다,47,162
바가,72,149
가마,44,171
라라,71,163
바하,74,191
사라,66,177
하타,71,182
차하,74,166
자타,56,189
라아,97,144
하자,42,142
가사,76,181
라나,67,186
라파,51,155
자하,83,150
자타,49,155
사파,83,182
사파,50,192
파마,81,189
카하,56,146
나아,79,190
자카,86,192
나가,81,146
타카,67,165
자마,81,157
하파,52,159
라하,89,150
가하,88,194
다타,50,176
나나,43,160
마카,59,165
라나,48,160
카라,76,186
사다,70,182
바파,70,184
카가,73,197
바라,79,159
하다,57,149
사아,76,167
파바,81,190
파가,83,150
자마,64,145
타가,82,180
차다,92,165
다다,76,161
카라,87,170
라차,49,160
사바,84,153
바다,82,165
바사,66,192
하카,49,182
하카,84,197
카파,95,198
나자,61,192
자차,75,198
나다,93,150
라사,84,154
자아,47,191
나차,91,155
하나,94,150
파하,71,158
카차,78,198
가마,70,163
카다,69,160
파타,87,158
가가,83,160
바하,51,166
나가,94,173
가자,70,158
바나,84,186
파나,57,194
타카,84,155
라다,59,155
사아,91,195
타사,68,175
가자,88,143
아자,59,143
다다,86,178
라자,80,152
타바,64,145
카자,53,155
다자,63,155
사바,91,196
하라,56,180
하가,82,197
다바,84,143
카마,81,161
아하,53,184
파바,84,197
라하,69,195
다라,70,175
아가,47,161
바카,46,188
자가,83,173
자타,71,185
나가,75,188
자사,60,161
자파,98,163
파바,88,155
카아,51,179
가하,41,141
가가,89,159
나나,88,189
파라,89,187
하아,98,198
아가,64,194
타차,61,190
차나,54,199
타자,83,187
차카,80,170
파카,96,157
사파,74,185
라라,92,164
마가,47,159
자카,43,149
아파,80,191
타마,45,194
바라,82,182
마나,82,149
하자,73,167
하나,76,159
라차,69,144
가아,75,156
마마,99,189
사아,74,168
바카,47,149
자카,64,140
마아,58,155
라바,57,162
자나,70,146
차라,50,192
나라,57,182
자차,51,187
마나,85,184
사다,80,141
아라,71,143
사카,45,199
하하,40,141
아바,91,146
타차,48,156
가나,72,170
타사,91,164
라나,79,165
하파,88,169
바가,40,177
아다,68,190
마파,70,161
가마,60,144
나타,95,171
가파,77,150
바차,74,144
바파,76,188
가차,92,169
하아,48,146
사카,56,145
사나,93,154
카라,71,192
다마,99,187
타라,86,197
마라,51,154
아하,79,187
차하,77,150
마자,95,177
타바,75,159
다자,72,197
차사,54,162
타다,80,156
자하,64,174
사아,72,147
마마,66,143
다차,91,190
자하,59,160
마아,96,173
가나,84,146
하사,45,189
바가,72,149
다나,65,141
다라,75,197
사하,46,171
가다,50,145
카라,84,152
카라,53,177
자마,96,167
마바,65,193
라파,43,161
파라,65,157
라바,59,141
라차,44,162
아파,84,164
자아,63,184
아사,95,171
마바,47,188
타바,59,158
가타,52,184
아타,55,183
차가,47,150
파파,43,188
다바,72,199
바하,78,193
카아,43,196
아라,85,149
타바,40,198
타바,89,170
자나,72,150
바아,63,159
카타,59,175
나카,95,165
가가,53,178
가나,75,185
마파,75,151
바자,66,190
라사,53,167
타가,71,197
바차,49,174
가파,81,152
하파,47,190
아사,95,191
나타,96,182
라차,48,173
타자,65,144
다아,71,182
바자,66,178
카하,70,187
하자,87,158
라사,66,162
사타,91,175
다다,83,154
사아,53,186
차아,47,165
하가,88,141
바바,57,195
파마,72,168
아마,50,150
자라,72,196
카하,93,179
아가,63,177
다마,42,176
사파,86,198
자차,73,190
마가,67,184
라자,65,167
자카,90,154
카아,91,152
마가,44,192
아차,41,148
타마,54,167
라차,48,145
가다,56,162
카자,99,174
라사,96,150
다가,40,140
파라,43,153
사다,47,141
자아,55,141
바카,88,144
라하,64,168
바다,76,182
다바,70,158
바하,61,143
다타,68,164
라차,63,160
바나,88,162
카나,94,185
차하,68,159
아나,62,182
나차,80,193
카자,56,179
가사,84,184
아가,91,147
라차,44,172
파자,65,180
자라,40,141
카나,46,179
자카,86,167
바가,89,176
타다,87,143
타다,52,150
타파,82,142
자바,88,151
자나,72,191
차다,63,147
카바,92,194
차하,85,152
사나,89,194
파바,49,153
자라,83,177
타타,63,150
타라,66,165
마하,45,153
나사,40,140
하타,40,148
파아,44,194
바카,91,164
마바,74,171
마사,77,152
다나,66,191
나바,80,176
자자,53,159
라파,78,186
라마,87,185
마바,72,192
나하,53,163
파파,88,188
파하,75,177
자타,46,196
바아,58,141
다자,48,177
타아,96,189
나차,53,166
사가,83,142
바마,98,155
자타,51,174
사마,91,177
사라,45,152
가파,40,184
아하,41,190
가타,44,147
다하,64,169
카카,47,147
아아,57,170
가사,58,153
다타,87,186
타바,48,149
가차,51,151
라파,49,193
마하,58,149
라타,99,155
차아,93,177
아카,83,151
파타,50,186
타차,73,159
파파,93,175
파아,86,172
자차,43,175
라마,48,186
